net,length_um
net32,91.56µm
net33,76.17µm
net3,66.35µm
clknet_1_0__leaf_osc_ck,61.62µm
_038_,57µm
net23,39.66µm
net11,37.12µm
net10,36.86µm
clknet_1_1__leaf_osc_ck,34.52µm
net7,33µm
net8,30.3µm
osc_ck,29.47µm
_031_,29.33µm
net12,29.22µm
net9,29µm
_032_,27.4µm
cnt\[0\],26.59µm
_022_,25.84µm
cnt\[1\],24.63µm
net6,24.24µm
_036_,22.54µm
cnt\[4\],19.86µm
cnt\[5\],19.19µm
clknet_0_osc_ck,19.1µm
_035_,18.28µm
cnt\[11\],16.15µm
cnt\[9\],15.71µm
_014_,15.1µm
net2,14.64µm
_040_,14.44µm
cnt\[7\],14.43µm
vtrip_decoded[2],14.42µm
otrip_decoded[4],14µm
clr_cnt,13.85µm
cnt\[2\],13.77µm
cnt\[3\],13.61µm
clr_cnt_sb_stg1,13.04µm
vtrip_decoded[3],13.04µm
otrip_decoded[6],12.62µm
_034_,12.2µm
vtrip[0],11.92µm
cnt\[8\],11.15µm
otrip[0],11.02µm
otrip[2],11.02µm
net35,11µm
_028_,10.86µm
otrip_decoded[0],10.76µm
force_ena_rc_osc,10.59µm
_039_,10.555µm
vtrip[1],10.54µm
vtrip_decoded[1],10.32µm
vtrip_decoded[4],10.32µm
vtrip_decoded[5],10.32µm
_025_,10.08µm
vtrip[2],10.08µm
otrip_decoded[2],9.88µm
otrip_decoded[5],9.88µm
_015_,9.86µm
vtrip_decoded[0],9.86µm
vtrip_decoded[7],9.86µm
_011_,9.52µm
net14,9.52µm
otrip_decoded[1],9.42µm
vtrip_decoded[6],9.4µm
osc_ena,9.27µm
otrip_decoded[3],8.96µm
otrip_decoded[7],8.96µm
otrip[1],8.72µm
force_dis_rc_osc,8.53µm
_033_,8.36µm
net38,8.36µm
net18,8.24µm
dcomp_retimed,8.1µm
cnt\[10\],7.97µm
_004_,7.255µm
_002_,7.2µm
_010_,7.2µm
_017_,6.72µm
cnt\[6\],6.41µm
net17,6.4µm
_019_,6.14µm
_030_,6.08µm
net27,6.08µm
outb_unbuf,5.87µm
_003_,5.82µm
_016_,5.8µm
net5,5.8µm
force_short_oneshot,5.75µm
clr_cnt_sb,5.38µm
_037_,5.34µm
net37,5.28µm
_021_,5.22µm
timed_out,5.19µm
_018_,4.88µm
_009_,4.8µm
net20,4.8µm
dcomp,4.73µm
_042_,4.61µm
_024_,4.48µm
ena,4.39µm
net1,4.36µm
net16,4.34µm
net25,4.34µm
net39,4.24µm
dcomp_ena_rsb,4.08µm
_005_,4.02µm
_007_,3.98µm
brout_filt,3.93µm
net29,3.88µm
net26,3.66µm
net19,3.42µm
net24,3.42µm
net28,3.18µm
_008_,3.08µm
_012_,3.08µm
net30,2.96µm
net31,2.96µm
_020_,2.64µm
net15,2.5µm
net34,2.5µm
_000_,2.38µm
_013_,2.3µm
_023_,2.3µm
_026_,2.28µm
net13,2.16µm
net21,2.04µm
net36,1.82µm
_006_,1.73µm
_029_,1.7µm
net22,1.7µm
_001_,1.36µm
_027_,1.36µm
net4,1.14µm
_041_,0.8µm
