Instance name, X location, Y location, Voltage
output28, 25.14, 54.4, 5.2356e-07
_063_, 25.14, 48.96, 5.92539e-07
_067_, 25.14, 48.96, 5.92539e-07
_068_, 25.14, 48.96, 5.92539e-07
_069_, 25.14, 48.96, 5.92539e-07
output24, 25.14, 48.96, 5.92539e-07
output30, 25.14, 48.96, 5.92539e-07
_076_, 25.14, 43.52, 1.36059e-06
_079_, 25.14, 43.52, 1.36059e-06
_080_, 25.14, 43.52, 1.36059e-06
_108_, 25.14, 43.52, 1.36059e-06
_046_, 25.14, 38.08, 1.26586e-06
_047_, 25.14, 38.08, 1.26586e-06
_077_, 25.14, 38.08, 1.26586e-06
_117_, 25.14, 38.08, 1.26586e-06
FILLER_0_11_52, 25.14, 38.08, 1.26586e-06
_081_, 25.14, 32.64, 2.37616e-06
_082_, 25.14, 32.64, 2.37616e-06
clkbuf_0_osc_ck, 25.14, 32.64, 2.37616e-06
FILLER_0_8_39, 25.14, 32.64, 2.37616e-06
FILLER_0_9_49, 25.14, 32.64, 2.37616e-06
_048_, 25.14, 27.2, 1.38934e-06
_051_, 25.14, 27.2, 1.38934e-06
_084_, 25.14, 27.2, 1.38934e-06
_091_, 25.14, 27.2, 1.38934e-06
fanout32, 25.14, 27.2, 1.38934e-06
hold3, 25.14, 27.2, 1.38934e-06
_049_, 25.14, 21.76, 8.56273e-07
_089_, 25.14, 21.76, 8.56273e-07
_112_, 25.14, 21.76, 8.56273e-07
_056_, 25.14, 16.32, 5.67119e-07
_057_, 25.14, 16.32, 5.67119e-07
_090_, 25.14, 16.32, 5.67119e-07
FILLER_0_3_48, 25.14, 16.32, 5.67119e-07
_059_, 25.14, 10.88, 2.86699e-07
input8, 25.14, 10.88, 2.86699e-07
output15, 25.14, 10.88, 2.86699e-07
FILLER_0_1_44, 25.14, 10.88, 2.86699e-07
PHY_EDGE_ROW_15_Left_31, 5.52, 54.4, 5.39596e-07
PHY_EDGE_ROW_15_Right_15, 50.14, 54.4, 5.62462e-07
FILLER_0_15_85, 50.14, 54.4, 5.62462e-07
input12, 15.33, 54.4, 5.39587e-07
output29, 37.64, 54.4, 5.62441e-07
output31, 37.64, 54.4, 5.62441e-07
PHY_EDGE_ROW_13_Left_29, 5.52, 48.96, 6.5955e-07
PHY_EDGE_ROW_14_Left_30, 5.52, 48.96, 6.5955e-07
input11, 5.52, 48.96, 6.5955e-07
FILLER_0_15_3, 5.52, 48.96, 6.5955e-07
PHY_EDGE_ROW_13_Right_13, 50.14, 48.96, 6.41962e-07
PHY_EDGE_ROW_14_Right_14, 50.14, 48.96, 6.41962e-07
FILLER_0_14_85, 50.14, 48.96, 6.41962e-07
_064_, 15.33, 48.96, 6.43127e-07
output25, 15.33, 48.96, 6.43127e-07
output26, 15.33, 48.96, 6.43127e-07
FILLER_0_13_15, 15.33, 48.96, 6.43127e-07
FILLER_0_14_29, 15.33, 48.96, 6.43127e-07
_066_, 37.64, 48.96, 6.4193e-07
_070_, 37.64, 48.96, 6.4193e-07
input10, 37.64, 48.96, 6.4193e-07
output27, 37.64, 48.96, 6.4193e-07
FILLER_0_14_69, 37.64, 48.96, 6.4193e-07
FILLER_0_14_79, 37.64, 48.96, 6.4193e-07
PHY_EDGE_ROW_11_Left_27, 5.52, 43.52, 1.58923e-06
PHY_EDGE_ROW_12_Left_28, 5.52, 43.52, 1.58923e-06
input3, 5.52, 43.52, 1.58923e-06
_098_, 50.14, 43.52, 2.10815e-06
PHY_EDGE_ROW_11_Right_11, 50.14, 43.52, 2.10815e-06
PHY_EDGE_ROW_12_Right_12, 50.14, 43.52, 2.10815e-06
output23, 50.14, 43.52, 2.10815e-06
FILLER_0_12_85, 50.14, 43.52, 2.10815e-06
_065_, 15.33, 43.52, 1.57535e-06
_078_, 15.33, 43.52, 1.57535e-06
_107_, 15.33, 43.52, 1.57535e-06
fanout33, 15.33, 43.52, 1.57535e-06
FILLER_0_12_19, 15.33, 43.52, 1.57535e-06
_100_, 37.64, 43.52, 1.94705e-06
_102_, 37.64, 43.52, 1.94705e-06
_103_, 37.64, 43.52, 1.94705e-06
_115_, 37.64, 43.52, 1.94705e-06
_106_, 5.52, 38.08, 1.60249e-06
PHY_EDGE_ROW_9_Left_25, 5.52, 38.08, 1.60249e-06
PHY_EDGE_ROW_10_Left_26, 5.52, 38.08, 1.60249e-06
FILLER_0_10_3, 5.52, 38.08, 1.60249e-06
FILLER_0_11_3, 5.52, 38.08, 1.60249e-06
_099_, 50.14, 38.08, 1.79341e-06
PHY_EDGE_ROW_9_Right_9, 50.14, 38.08, 1.79341e-06
PHY_EDGE_ROW_10_Right_10, 50.14, 38.08, 1.79341e-06
input6, 50.14, 38.08, 1.79341e-06
_075_, 15.33, 38.08, 1.45321e-06
hold4, 15.33, 38.08, 1.45321e-06
FILLER_0_9_15, 15.33, 38.08, 1.45321e-06
_043_, 37.64, 38.08, 1.72242e-06
_053_, 37.64, 38.08, 1.72242e-06
_096_, 37.64, 38.08, 1.72242e-06
_097_, 37.64, 38.08, 1.72242e-06
_101_, 37.64, 38.08, 1.72242e-06
_104_, 37.64, 38.08, 1.72242e-06
PHY_EDGE_ROW_7_Left_23, 5.52, 32.64, 2.77107e-06
PHY_EDGE_ROW_8_Left_24, 5.52, 32.64, 2.77107e-06
_052_, 50.14, 32.64, 3.83676e-06
_054_, 50.14, 32.64, 3.83676e-06
PHY_EDGE_ROW_7_Right_7, 50.14, 32.64, 3.83676e-06
PHY_EDGE_ROW_8_Right_8, 50.14, 32.64, 3.83676e-06
input2, 50.14, 32.64, 3.83676e-06
output22, 50.14, 32.64, 3.83676e-06
_083_, 15.33, 32.64, 2.77105e-06
_086_, 15.33, 32.64, 2.77105e-06
_109_, 15.33, 32.64, 2.77105e-06
_110_, 15.33, 32.64, 2.77105e-06
_118__34, 15.33, 32.64, 2.77105e-06
FILLER_0_7_15, 15.33, 32.64, 2.77105e-06
FILLER_0_8_15, 15.33, 32.64, 2.77105e-06
FILLER_0_8_29, 15.33, 32.64, 2.77105e-06
_074_, 37.64, 32.64, 3.68068e-06
_094_, 37.64, 32.64, 3.68068e-06
_116_, 37.64, 32.64, 3.68068e-06
clkbuf_1_1__f_osc_ck, 37.64, 32.64, 3.68068e-06
FILLER_0_7_69, 37.64, 32.64, 3.68068e-06
